0	NDTree		2	1	49	51229	
0	RNDTree		2	1	49	50152	
0	NDTree		2	2	69	36160	
0	RNDTree		2	2	69	49054	
0	NDTree		2	3	56	36369	
0	RNDTree		2	3	56	34676	
0	NDTree		2	4	39	38557	
0	RNDTree		2	4	39	37068	
0	NDTree		2	5	61	35083	
0	RNDTree		2	5	61	40474	
0	NDTree		2	6	48	36959	
0	RNDTree		2	6	48	34790	
0	NDTree		2	7	56	38867	
0	RNDTree		2	7	56	45369	
0	NDTree		2	8	49	33047	
0	RNDTree		2	8	49	31548	
0	NDTree		2	9	65	32948	
0	RNDTree		2	9	65	40877	
0	NDTree		2	10	55	31342	
0	RNDTree		2	10	55	44467	
0	NDTree		2	11	57	30596	
0	RNDTree		2	11	57	32378	
0	NDTree		2	12	28	5160	
0	RNDTree		2	12	28	5849	
0	NDTree		2	13	23	5714	
0	RNDTree		2	13	23	7408	
0	NDTree		2	14	29	7475	
0	RNDTree		2	14	29	5167	
0	NDTree		2	15	33	6012	
0	RNDTree		2	15	33	4120	
0	NDTree		2	16	28	5277	
0	RNDTree		2	16	28	4618	
0	NDTree		2	17	30	6063	
0	RNDTree		2	17	30	8048	
0	NDTree		2	18	29	6435	
0	RNDTree		2	18	29	4149	
0	NDTree		2	19	31	6519	
0	RNDTree		2	19	31	5760	
0	NDTree		2	20	30	7063	
0	RNDTree		2	20	30	6970	
0	NDTree		2	21	24	5896	
0	RNDTree		2	21	24	4310	

0	NDTree		3	1	430	81329	
0	RNDTree		3	1	430	72604	
0	NDTree		3	2	421	89663	
0	RNDTree		3	2	421	67097	
0	NDTree		3	3	385	91694	
0	RNDTree		3	3	385	68376	
0	NDTree		3	4	403	96536	
0	RNDTree		3	4	403	64805	
0	NDTree		3	5	493	92793	
0	RNDTree		3	5	493	71506	
0	NDTree		3	6	393	81632	
0	RNDTree		3	6	393	61345	
0	NDTree		3	7	594	111976	
0	RNDTree		3	7	594	78025	
0	NDTree		3	8	378	97980	
